10083154,https://www.tv2.no/a/10083154,Sport,Fotball,"{eliteserien,fotball,sport,""espen ruud"",sarpsborg,odd}",tv2,2018-09-16 20:00:00+02,- Ingen i Norge gjør det bedre,f
10082758,https://www.tv2.no/a/10082758,Sport,Fotball,"{""premier league"",""marko arnautovic"",fotball,""west ham"",""andrij jarmolenko"",sport}",tv2,2018-09-16 18:53:00+02,"Fansen raste mot spissen, men uten å vite sannheten",f
10082745,https://www.tv2.no/a/10082745,Sport,Fotball,"{""serie a"",""douglas costa"",juventus,sport,fotball}",tv2,2018-09-16 17:07:00+02,"Juventus-stjerne albuet, skallet og spyttet på motspiller",f
10082548,https://www.tv2.no/a/10082548,Sport,Fotball,"{fotball,kvinnefotball,sport,lyon,""ada hegerberg""}",tv2,2018-09-16 15:35:00+02,- Jeg blir stemplet som en primadonna,f
10082462,https://www.tv2.no/a/10082462,Sport,Fotball,"{sport,az,""myron boadu"",eredivisie,""bjørn maars johnsen"",fotball}",tv2,2018-09-16 14:23:00+02,Supertalentets skrekkskade åpner veien for Maars Johnsen,f
m69VpL,https://www.vg.no/sport/fotball/i/m69VpL/revansjelysten-fellah-har-foelt-seg-glemt-jeg-har-fortsatt-mer-aa-komme-med,Sport,Fotball,"{eliteserien,sandefjord,fotball,superligaen,bodø/glimt,sport,fotball}",vg,2018-09-17 07:34:00+02,Revansjelysten Fellah har følt seg glemt: – Jeg har fortsatt mer å komme med,f
1k9xxK,https://www.vg.no/sport/fotball/i/1k9xxK/ivar-hoff-etter-lsk-marerittet-lillestroem-meldte-seg-inn-i-obos-i-dag,Sport,Fotball,"{eliteserien,sport,fotball}",vg,2018-09-16 21:07:00+02,Ivar Hoff etter LSK-marerittet: Lillestrøm meldte seg inn i Obos i dag,f
jPErrz,https://www.vg.no/sport/fotball/i/jPErrz/lennartsson-avfeier-at-det-er-krise-i-lsk,Sport,Fotball,"{eliteserien,sport,fotball}",vg,2018-09-16 19:59:00+02,Lennartsson avfeier at det er krise i LSK,f
5VgoRm,https://www.vg.no/sport/fotball/i/5VgoRm/stabaek-over-streken-tross-maalloest-oppgjoer-mot-tromsoe,Sport,Fotball,"{eliteserien,""tromsø il"",""stabæk fotball"",sport,fotball}",vg,2018-09-16 19:52:00+02,Stabæk over streken tross målløst oppgjør mot Tromsø,f
J15Lnj,https://www.vg.no/sport/fotball/i/J15Lnj/hegerberg-svarer-kritikerne-jeg-blir-stemplet-som-en-primadonna,Sport,Fotball,"{""ada hegerberg"",""kvinnelandslaget fotball"",sport,fotball}",vg,2018-09-16 16:54:00+02,Hegerberg svarer kritikerne: - Jeg blir stemplet som en primadonna,f
8w8xwA,https://www.vg.no/sport/fotball/i/8w8xwA/rooney-langer-ut-mot-everton-eieren,Sport,Fotball,"{""premier league"",""wayne rooney"",""everton fc"",sport,fotball}",vg,2018-09-16 14:13:00+02,Rooney langer ut mot Everton-eieren,f
dd1qd1,https://www.vg.no/sport/fotball/i/dd1qd1/hansen-spaar-favoritt-flopp-i-1-divisjon-tror-paa-nytt-mjoendalen-eventyr,Sport,Fotball,"{""fotball 1. div"",""mjøndalen if"",""aalesund fk"",""viking fk"",""sogndal fotball"",sport,fotball}",vg,2018-09-16 10:23:00+02,Hansen spår favoritt-flopp i 1. divisjon – tror på nytt Mjøndalen-eventyr,f
